Rank,Player,Deck,Wins,Losses,Card,Count,Main/Side
11,cftsoc,Naya Fury,8,2,Shepherd of the Flock,4,Main
11,cftsoc,Naya Fury,8,2,Bonecrusher Giant,4,Main
11,cftsoc,Naya Fury,8,2,Giant Killer,4,Main
11,cftsoc,Naya Fury,8,2,Kazuul's Fury,4,Main
11,cftsoc,Naya Fury,8,2,Needleverge Pathway,4,Main
11,cftsoc,Naya Fury,8,2,Branchloft Pathway,4,Main
11,cftsoc,Naya Fury,8,2,Cragcrown Pathway,4,Main
11,cftsoc,Naya Fury,8,2,Fabled Passage,3,Main
11,cftsoc,Naya Fury,8,2,Roiling Vortex,3,Sideboard
11,cftsoc,Naya Fury,8,2,Scorching Dragonfire,2,Sideboard
11,cftsoc,Naya Fury,8,2,Phoenix of Ash,3,Sideboard
11,cftsoc,Naya Fury,8,2,Archon of Absolution,3,Sideboard
11,cftsoc,Naya Fury,8,2,Tormod's Crypt,1,Sideboard
11,cftsoc,Naya Fury,8,2,Redcap Melee,2,Sideboard
11,cftsoc,Naya Fury,8,2,Fire Prophecy,1,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Drannith Stinger,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Flourishing Fox,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Drannith Healer,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Valiant Rescuer,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Boon of the Wish-Giver,3,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Go for Blood,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Footfall Crater,3,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Frostveil Ambush,3,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Startling Development,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Zenith Flare,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Improbable Alliance,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Island,1,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Raugrin Triome,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Needleverge Pathway,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Plains,1,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Hengegate Pathway,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Riverglide Pathway,4,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Mountain,1,Main
12,Nicholas DeMichele,Jeskai Cycling,8,2,Shatter the Sky,2,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Roiling Vortex,2,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Redcap Melee,3,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Shredded Sails,3,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Lurrus of the Dream-Den,1,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Negate,2,Sideboard
12,Nicholas DeMichele,Jeskai Cycling,8,2,Mystical Dispute,2,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Omen of the Sea,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,"Valki, God of Lies",2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Negate,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Heartless Act,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Wolfwillow Haven,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Cultivate,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Binding the Old Gods,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Shadows' Verdict,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Emergent Ultimatum,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Alrund's Epiphany,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Kiora Bests the Sea God,1,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Zagoth Triome,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Ketria Triome,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Barkchannel Pathway,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Darkbore Pathway,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Clearwater Pathway,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Sea Gate Restoration,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Elspeth's Nightmare,1,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Forest,3,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Island,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Jwari Disruption,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Fabled Passage,4,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Mazemind Tome,3,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Swamp,3,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Eliminate,1,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Extinction Event,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Shark Typhoon,2,Main
13,hironori tanaka,Sultai Ultimatum,7,2,Erebos's Intervention,1,Main
13,hironori tanaka,Sultai Ultimatum,7,2,"Yorion, Sky Nomad",1,Main
13,hironori tanaka,Sultai Ultimatum,7,2,"Yorion, Sky Nomad",1,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Glimpse of Freedom,1,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,"Koma, Cosmos Serpent",2,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Shadows' Verdict,1,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Duress,2,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Mystical Dispute,3,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Elder Gargaroth,2,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Soul Shatter,1,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,Elspeth's Nightmare,1,Sideboard
13,hironori tanaka,Sultai Ultimatum,7,2,"Polukranos, Unchained",1,Sideboard
14,Garrison Fogt,Four-color Cycling,7,2,Drannith Stinger,4,Main
14,Garrison Fogt,Four-color Cycling,7,2,Flourishing Fox,4,Main
14,Garrison Fogt,Four-color Cycling,7,2,Drannith Healer,4,Main
14,Garrison Fogt,Four-color Cycling,7,2,Valiant Rescuer,4,Main
14,Garrison Fogt,Four-color Cycling,7,2,Boon of the Wish-Giver,3,Main
14,Garrison Fogt,Four-color Cycling,7,2,Go for Blood,4,Main
14,Garrison Fogt,Four-color Cycling,7,2,Memory Leak,4,Main
14,Garrison Fogt,Four-color Cycling,7,2,Frostveil Ambush,3,Main
14,Garrison Fogt,Four-color Cycling,7,2,Startling Development,4,Main
