Rank,Player,Deck,Record,List
82,Matteo Bruschi,Four-color Control,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
3 Yorion, Sky Nomad
4 Omen of the Sea
2 Omen of the Sun
2 Archon of Sun's Grace
4 Heartless Act
2 Golden Egg
4 Extinction Event
2 Dance of the Manse
2 Treacherous Blessing
4 Elspeth's Nightmare
4 Doom Foretold
2 Swamp
2 Plains
2 Island
4 Fabled Passage
2 The Raven's Warning
1 Forest
4 Clearwater Pathway
4 Brightclimb Pathway
3 Eliminate
4 Hengegate Pathway
4 Zagoth Triome
2 Negate
4 Binding the Old Gods
3 Indatha Triome
2 Branchloft Pathway
2 Barkchannel Pathway
2 Emeria's Call

Sideboard
1 Yorion, Sky Nomad
1 Dance of the Manse
2 Mystical Dispute
1 Archon of Sun's Grace
2 Cling to Dust
1 Glass Casket
2 Disdainful Stroke
2 Negate
1 Miscast
1 Annul
1 Pestilent Haze"
83,John Boyd,Mono-Green Aggro,4/3/2000,"Deck
3 Swarm Shambler
21 Snow-Covered Forest
2 Scavenging Ooze
4 Old-Growth Troll
4 Stonecoil Serpent
3 Gemrazer
3 Questing Beast
2 Vivien, Monsters' Advocate
2 Vorinclex, Monstrous Raider
2 The Great Henge
4 Blizzard Brawl
4 Lovestruck Beast
4 Castle Garenbrig
2 Wildborn Preserver

Sideboard
2 Chainweb Aracnir
2 Snakeskin Veil
3 Garruk's Harbinger
1 The Great Henge
1 Scavenging Ooze
2 Wilt
2 Elder Gargaroth
2 Toski, Bearer of Secrets"
84,Max Dore,Rakdos Sacrifice,4/3/2000,"Deck
4 Blightstep Pathway
3 Bonecrusher Giant
2 Castle Locthwain
4 Claim the Firstborn
1 Egon, God of Death
4 Fabled Passage
2 Heartless Act
3 Kroxa, Titan of Death's Hunger
4 Mountain
1 Ox of Agonas
3 Rankle, Master of Pranks
2 Savai Triome
4 Shatterskull Smashing
1 Shredded Sails
6 Swamp
3 The Akroan War
4 Village Rites
4 Woe Strider
2 Valki, God of Lies
2 Tymaret Calls the Dead
1 Bloodchief's Thirst

Sideboard
2 Agonizing Remorse
1 Embereth Shieldbreaker
2 Duress
2 Eat to Extinction
2 Liliana, Waker of the Dead
1 Ox of Agonas
4 Robber of the Rich
1 Shredded Sails"
85,Kyle Lewis,Gruul Adventures,4/3/2000,"Deck
4 Bonecrusher Giant
8 Forest
4 Edgewall Innkeeper
5 Mountain
4 Lovestruck Beast
4 Brushfire Elemental
4 Kazandu Mammoth
2 Questing Beast
2 Scavenging Ooze
4 Embercleave
1 The Great Henge
4 Shatterskull Smashing
4 Goldspan Dragon
4 Fabled Passage
4 Cragcrown Pathway
2 Snakeskin Veil

Sideboard
3 Soul Sear
3 Wilt
4 Scorching Dragonfire
2 Ox of Agonas
2 Klothys, God of Destiny
1 The Great Henge"
86,Francisco Sanchez,Naya Adventures,4/3/2000,"Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
4 Unleash Fury
2 Plains
2 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
2 Forest
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
4 Shepherd of the Flock

Sideboard
4 Archon of Absolution
3 Fire Prophecy
2 The Akroan War
2 Embereth Shieldbreaker
2 Ox of Agonas
2 Redcap Melee"
87,Admassu Williams,Naya Adventures,4/3/2000,"Deck
4 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Forest
2 Mountain
1 Plains

Sideboard
3 Archon of Absolution
2 Phoenix of Ash
3 Fire Prophecy
2 Roiling Vortex
1 The Akroan War
3 Redcap Melee
1 Ox of Agonas"
88,Maxence Pougnard,Esper Doom Foretold,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
3 Archon of Sun's Grace
3 Emeria's Call
4 Extinction Event
2 Dance of the Manse
3 Negate
3 Heartless Act
4 Eliminate
4 Elspeth Conquers Death
4 Doom Foretold
3 Elspeth's Nightmare
2 Omen of the Sun
2 The Raven's Warning
2 Treacherous Blessing
4 Omen of the Sea
4 Fabled Passage
4 Hengegate Pathway
4 Brightclimb Pathway
4 Swamp
4 Clearwater Pathway
2 Temple of Silence
4 Plains
4 Island
2 Temple of Deceit
2 Shadows' Verdict
3 Yorion, Sky Nomad

Sideboard
3 Glass Casket
2 Cling to Dust
3 Mystical Dispute
3 Shark Typhoon
1 Dance of the Manse
1 Yorion, Sky Nomad
2 Disdainful Stroke"
89,changsu kou,Naya Adventures,4/3/2000,"Deck
4 Giant Killer
2 Mountain
4 Sejiri Shelter
4 Shepherd of the Flock
4 Unleash Fury
2 Plains
4 Kazuul's Fury
4 Bonecrusher Giant
4 Goldspan Dragon
4 Edgewall Innkeeper
2 Forest
4 Lovestruck Beast
4 Needleverge Pathway
4 Showdown of the Skalds
4 Branchloft Pathway
4 Cragcrown Pathway
2 Fabled Passage

Sideboard
2 Embereth Shieldbreaker
4 Fire Prophecy
2 The Akroan War
3 Ox of Agonas
4 Archon of Absolution"
90,Michael Shank,Mono-White Aggro,4/3/2000,"Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
4 Usher of the Fallen
3 Maul of the Skyclaves
4 Faceless Haven
19 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Legion Angel

Sideboard
2 Drannith Magistrate
3 Legion Angel
1 Shadowspear
3 Glass Casket
1 Reidane, God of the Worthy
1 Giant Killer
1 Basri Ket
1 Heliod's Intervention
1 Lurrus of the Dream-Den
1 Baneslayer Angel"
91,Guilherme Telles,Sultai Ultimatum,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
3 Eliminate
4 Swamp
3 Heartless Act
2 Valki, God of Lies
2 Negate
3 Shadows' Verdict
4 Forest
4 Binding the Old Gods
1 Disdainful Stroke
2 Jwari Disruption
2 Island
4 Omen of the Sea
2 Shark Typhoon
1 Kiora Bests the Sea God
2 Sea Gate Restoration
2 Alrund's Epiphany
4 Cultivate
4 Emergent Ultimatum
4 Fabled Passage
4 Clearwater Pathway
4 Darkbore Pathway
2 Ketria Triome
4 Barkchannel Pathway
4 Zagoth Triome
1 Extinction Event
3 Mazemind Tome
4 Wolfwillow Haven
1 Vorinclex, Monstrous Raider

Sideboard
1 Cling to Dust
1 Koma, Cosmos Serpent
2 Negate
1 Yorion, Sky Nomad
3 Mystical Dispute
3 Duress
1 Erebos's Intervention
2 Elder Gargaroth
1 Glimpse of Freedom"
92,Michael Stigall,Sultai Ultimatum,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Forest
3 Swamp
3 Island
2 Negate
4 Cultivate
1 Temple of Mystery
3 Mystical Dispute
4 Fabled Passage
4 Omen of the Sea
4 Wolfwillow Haven
1 Kiora Bests the Sea God
3 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
1 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
4 Jwari Disruption
3 Shadows' Verdict
4 Barkchannel Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
4 Behold the Multiverse

Sideboard
3 Duress
1 Negate
1 Mystical Dispute
1 Cling to Dust
2 Polukranos, Unchained
1 Heartless Act
1 Yorion, Sky Nomad
1 Eliminate
1 Mazemind Tome
1 Shadows' Verdict
1 Koma, Cosmos Serpent
1 Crippling Fear"
93,Tina Morgan,Rakdos Sacrifice,4/3/2000,"Deck
2 Kroxa, Titan of Death's Hunger
3 Claim the Firstborn
4 Bonecrusher Giant
4 Village Rites
4 Mire Triton
4 Fabled Passage
4 Blightstep Pathway
4 Savai Triome
2 Ox of Agonas
4 Woe Strider
5 Swamp
2 Liliana, Waker of the Dead
4 Shatterskull Smashing
3 Heartless Act
3 Mountain
3 Rankle, Master of Pranks
2 Castle Locthwain
3 The Akroan War

Sideboard
2 Soul Shatter
2 Shredded Sails
4 Duress
1 Kroxa, Titan of Death's Hunger
1 The Akroan War
4 Robber of the Rich
1 Valki, God of Lies"
94,Diogo Travassos,Dimir Rogues,4/3/2000,"Companion
1 Lurrus of the Dream-Den

Deck
3 Agadeem's Awakening
2 Bloodchief's Thirst
4 Clearwater Pathway
1 Didn't Say Please
4 Drown in the Loch
1 Essence Scatter
4 Fabled Passage
2 Heartless Act
4 Into the Story
5 Island
1 Lullmage's Domination
4 Merfolk Windrobber
3 Of One Mind
4 Ruin Crab
4 Soaring Thought-Thief
3 Swamp
4 Temple of Deceit
4 Thieves' Guild Enforcer
2 Zagoth Triome
1 Crippling Fear

Sideboard
2 Bloodchief's Thirst
2 Dead Weight
1 Lurrus of the Dream-Den
2 Mystical Dispute
3 Negate
3 Skyclave Shade
1 Crippling Fear
1 Lullmage's Domination"
95,Steffen Stadler,Gruul Adventures,4/3/2000,"Deck
4 Edgewall Innkeeper
2 Embereth Shieldbreaker
1 Fire Prophecy
2 Scavenging Ooze
4 Brushfire Elemental
4 Bonecrusher Giant
4 Kazandu Mammoth
4 Lovestruck Beast
2 The Akroan War
3 Questing Beast
1 Vivien, Monsters' Advocate
3 Embercleave
2 The Great Henge
2 Shatterskull Smashing
2 Mountain
4 Forest
4 Riverglide Pathway
4 Cragcrown Pathway
4 Barkchannel Pathway
4 Fabled Passage

Sideboard
3 Disdainful Stroke
3 Fire Prophecy
2 Wilt
2 Soul Sear
1 The Akroan War
2 Ox of Agonas
1 Vivien, Monsters' Advocate
1 Storm's Wrath"
96,Naonari Hoshide,Four-color Midrange,4/3/2000,"Deck
1 Vivien, Monsters' Advocate
4 Fabled Passage
2 Mountain
2 Swamp
3 Agonizing Remorse
3 Terror of the Peaks
2 Forest
4 Blightstep Pathway
1 Kroxa, Titan of Death's Hunger
2 Atris, Oracle of Half-Truths
1 Skyclave Shade
3 Heartless Act
1 Temple of Abandon
2 Binding the Old Gods
1 Burning-Rune Demon
3 Esika's Chariot
4 Zagoth Triome
3 Ketria Triome
3 Eliminate
1 Bloodchief's Thirst
2 The Royal Scions
1 Island
3 Bonecrusher Giant
1 Negate
1 Disdainful Stroke
1 Valki, God of Lies
2 Dead Weight
3 Temple of Malice

Sideboard
1 Wilt
1 Mystical Dispute
1 Run Afoul
1 Battle of Frost and Fire
1 Skyclave Shade
1 Klothys, God of Destiny
1 Binding the Old Gods
2 Duress
1 Disdainful Stroke
1 Vivien, Monsters' Advocate
1 Kroxa, Titan of Death's Hunger
1 Burning-Rune Demon
1 Bloodchief's Thirst
1 Dead Weight"
97,Shoma Kanai,Sultai Ultimatum,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
2 Valki, God of Lies
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
4 Cultivate
4 Emergent Ultimatum
2 Sea Gate Restoration
2 Shadows' Verdict
3 Behold the Multiverse
3 Heartless Act
4 Jwari Disruption
2 Mystical Dispute
2 Negate
4 Binding the Old Gods
1 Kiora Bests the Sea God
4 Omen of the Sea
4 Wolfwillow Haven
4 Barkchannel Pathway
4 Clearwater Pathway
4 Darkbore Pathway
2 Elspeth's Nightmare
4 Fabled Passage
4 Forest
2 Island
1 Ketria Triome
1 Mountain
4 Swamp
1 Temple of Mystery
4 Zagoth Triome
1 Soul Shatter

Sideboard
1 Negate
2 Shadows' Verdict
1 Soul Shatter
2 Cling to Dust
3 Duress
1 Koma, Cosmos Serpent
1 Erebos's Intervention
1 Toski, Bearer of Secrets
1 Yorion, Sky Nomad
2 Extinction Event"
98,Alessandro Ventura,Sultai Ultimatum,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
1 Valki, God of Lies
4 Heartless Act
3 Cultivate
4 Binding the Old Gods
1 Eliminate
4 Emergent Ultimatum
1 Erebos's Intervention
2 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Extinction Event
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
3 Forest
4 Jwari Disruption
4 Fabled Passage
4 Mazemind Tome
3 Swamp
3 Elspeth's Nightmare
1 Omen of the Hunt
1 Shark Typhoon
2 Shadows' Verdict
2 Yorion, Sky Nomad
4 Wolfwillow Haven
2 Island

Sideboard
1 Yorion, Sky Nomad
1 Polukranos, Unchained
2 Glimpse of Freedom
3 Negate
3 Agonizing Remorse
1 Eliminate
2 Koma, Cosmos Serpent
1 Shadows' Verdict
1 Elder Gargaroth"
99,Joris Voorn,Dimir Control,4/3/2000,"Companion
1 Yorion, Sky Nomad

Deck
4 Behold the Multiverse
2 Bloodchief's Thirst
4 Clearwater Pathway
2 Eliminate
4 Elspeth's Nightmare
2 Essence Scatter
4 Extinction Event
4 Fabled Passage
3 Hagra Mauling
4 Heartless Act
4 Jwari Disruption
1 Lochmere Serpent
3 Mazemind Tome
2 Midnight Clock
2 Negate
3 Neutralize
3 Saw It Coming
1 Sea Gate Restoration
4 Shark Typhoon
3 Blightstep Pathway
3 Riverglide Pathway
2 Temple of Deceit
2 Ugin, the Spirit Dragon
2 Valki, God of Lies
1 Yorion, Sky Nomad
5 Swamp
6 Island

Sideboard
2 Cling to Dust
2 Disdainful Stroke
3 Duress
3 Mystical Dispute
2 Shadows' Verdict
2 Crippling Fear
1 Yorion, Sky Nomad"
100,Jimmyto Lara,Temur Adventures,4/3/2000,"Deck
4 Forest
1 Mountain
2 Embereth Shieldbreaker
4 Lovestruck Beast
2 Questing Beast
3 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
4 Fabled Passage
2 Fire Prophecy
4 Cragcrown Pathway
4 Riverglide Pathway
4 Brushfire Elemental
2 Tangled Florahedron
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Barkchannel Pathway
4 Goldspan Dragon

Sideboard
1 Island
3 Disdainful Stroke
2 The Akroan War
2 Ox of Agonas
2 Shredded Sails
1 Fire Prophecy
2 Elder Gargaroth
2 Miscast"
