"Rank","Player","Deck","Wins","Losses","List"
"154","Rumti","Mono-Green Aggro","2","3","Deck
4 Swarm Shambler
4 Castle Garenbrig
1 Yorvo, Lord of Garenbrig
2 Primal Might
3 Nessian Hornbeetle
1 Faceless Haven
4 Questing Beast
3 Scavenging Ooze
4 Lovestruck Beast
19 Snow-Covered Forest
3 The Great Henge
4 Stonecoil Serpent
4 Gemrazer
4 Old-Growth Troll

Sideboard
3 Chainweb Aracnir
1 The Great Henge
1 Scavenging Ooze
2 Snakeskin Veil
2 Vivien, Monsters' Advocate
4 Blizzard Brawl
2 Kogla, the Titan Ape"
"155","Simón Arboleda Escobar","Dimir Rogues","2","3","Companion
1 Lurrus of the Dream-Den

Deck
4 Ruin Crab
4 Swamp
3 Merfolk Windrobber
4 Thieves' Guild Enforcer
5 Island
4 Soaring Thought-Thief
4 Drown in the Loch
4 Into the Story
3 Heartless Act
3 Bloodchief's Thirst
1 Didn't Say Please
2 Lullmage's Domination
4 Clearwater Pathway
4 Fabled Passage
2 Zagoth Triome
4 Temple of Deceit
2 Agadeem's Awakening
2 Of One Mind
1 Essence Scatter

Sideboard
1 Lurrus of the Dream-Den
1 Dead Weight
4 Negate
2 Mystical Dispute
3 Skyclave Shade
2 Lullmage's Domination
2 Crippling Fear"
"156","Thomas Fabi","Mono-Red Aggro","2","3","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
3 Embercleave
4 Fervent Champion
2 Phoenix of Ash
4 Rimrock Knight
4 Robber of the Rich
3 Torbran, Thane of Red Fell
2 Castle Embereth
19 Snow-Covered Mountain
3 Faceless Haven
2 Frost Bite
4 Fireblade Charger
2 Soul Sear

Sideboard
1 Phoenix of Ash
2 Scorching Dragonfire
1 Weathered Runestone
3 Ox of Agonas
2 The Akroan War
1 Shredded Sails
2 Soul-Guide Lantern
2 Soul Sear
1 Frost Bite"
"157","Willian Fernandes","Sultai Ultimatum","2","3","Companion
1 Yorion, Sky Nomad

Deck
4 Jwari Disruption
2 Valki, God of Lies
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
1 Temple of Mystery
4 Cultivate
4 Emergent Ultimatum
4 Behold the Multiverse
2 Sea Gate Restoration
3 Shadows' Verdict
4 Wolfwillow Haven
3 Mystical Dispute
3 Heartless Act
2 Negate
4 Binding the Old Gods
1 Kiora Bests the Sea God
4 Omen of the Sea
4 Barkchannel Pathway
3 Swamp
4 Clearwater Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Fabled Passage
4 Forest
3 Island
1 Ketria Triome
4 Zagoth Triome

Sideboard
1 Eliminate
2 Polukranos, Unchained
1 Mystical Dispute
1 Mazemind Tome
1 Heartless Act
3 Duress
1 Shadows' Verdict
1 Negate
1 Yorion, Sky Nomad
1 Cling to Dust
1 Koma, Cosmos Serpent
1 Crippling Fear"
"158","Jonathan Ledy","Four-color Cycling","2","3","Companion
1 Lurrus of the Dream-Den

Deck
4 Raugrin Triome
4 Valiant Rescuer
4 Flourishing Fox
4 Drannith Stinger
2 Brightclimb Pathway
2 Shredded Sails
4 Startling Development
4 Zenith Flare
4 Needleverge Pathway
4 Riverglide Pathway
4 Memory Leak
4 Savai Triome
4 Improbable Alliance
2 Clearwater Pathway
2 Easy Prey
4 Drannith Healer
2 Hengegate Pathway
2 Neutralize

Sideboard
2 Soul-Guide Lantern
2 Disdainful Stroke
1 Lurrus of the Dream-Den
2 Shredded Sails
4 Mystical Dispute
4 Irencrag Pyromancer"
"159","tianguang liu","Gruul Adventures","2","3","Deck
2 Questing Beast
2 The Akroan War
4 Lovestruck Beast
4 Brushfire Elemental
4 Edgewall Innkeeper
3 Goldspan Dragon
4 Kazandu Mammoth
4 Bonecrusher Giant
2 The Great Henge
3 Embercleave
2 Snakeskin Veil
4 Shatterskull Smashing
4 Cragcrown Pathway
4 Fabled Passage
5 Mountain
8 Forest
1 Toski, Bearer of Secrets

Sideboard
1 The Great Henge
2 Soul Sear
2 Klothys, God of Destiny
3 Ox of Agonas
3 Wilt
4 Scorching Dragonfire"
"160","Marian Will","Mono-White Aggro","2","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Castle Ardenvale
1 Kabira Takedown

Sideboard
2 Drannith Magistrate
2 Glorious Protector
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer
2 Baneslayer Angel"
"161","JUAN FRANCISCO ACOSTA","Mono-White Aggro","2","3","Deck
1 Castle Ardenvale
4 Faceless Haven
18 Snow-Covered Plains
4 Alseid of Life's Bounty
3 Giant Killer
3 Halvar, God of Battle
1 Legion Angel
4 Luminarch Aspirant
3 Reidane, God of the Worthy
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves

Sideboard
3 Legion Angel
1 Giant Killer
4 Glass Casket
2 Shadowspear
2 Sentinel's Eyes
3 Archon of Absolution"
"162","Dakota Walley","Mono-White Aggro","2","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
4 Selfless Savior
4 Speaker of the Heavens
1 Heliod, Sun-Crowned
4 Maul of the Skyclaves
2 Reidane, God of the Worthy
1 Basri Ket
4 Skyclave Apparition
1 Lurrus of the Dream-Den
2 Halvar, God of Battle
1 Legion Angel
1 Castle Ardenvale
4 Faceless Haven
17 Snow-Covered Plains
4 Luminarch Aspirant
4 Seasoned Hallowblade

Sideboard
2 Sentinel's Eyes
2 Soul-Guide Lantern
3 Banishing Light
1 Basri Ket
1 Heliod, Sun-Crowned
1 Lurrus of the Dream-Den
3 Legion Angel
2 Heliod's Intervention"
"163","Corey Lerch","Boros Aggro","2","3","Deck
3 Giant Killer
4 Snow-Covered Plains
4 Bonecrusher Giant
4 Snow-Covered Mountain
3 Embercleave
3 Maul of the Skyclaves
2 Akiri, Fearless Voyager
4 Usher of the Fallen
2 Shepherd of the Flock
4 Robber of the Rich
2 Goldspan Dragon
1 Dragonkin Berserker
4 Skyclave Apparition
2 Emeria's Call
2 Shatterskull Smashing
4 Needleverge Pathway
4 Fabled Passage
3 Faceless Haven
1 Legion Angel
4 Showdown of the Skalds

Sideboard
3 Legion Angel
2 Frost Bite
2 Reidane, God of the Worthy
1 Giant Killer
3 Ox of Agonas
2 Roiling Vortex
2 The Akroan War"
"164","Henip","Gruul Adventures","2","3","Deck
4 Edgewall Innkeeper
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Lovestruck Beast
4 Bonecrusher Giant
4 Cragcrown Pathway
2 Scorching Dragonfire
4 Fabled Passage
4 Brushfire Elemental
2 Goldspan Dragon
2 Questing Beast
3 Embercleave
2 The Akroan War
8 Forest
4 Mountain
2 The Great Henge
3 Scavenging Ooze

Sideboard
2 Wilt
2 Soul Sear
2 Ox of Agonas
2 Roiling Vortex
2 Klothys, God of Destiny
2 Redcap Melee
1 The Akroan War
2 Scorching Dragonfire"
"165","Nick Lambe","Gruul Adventures","2","3","Deck
4 Edgewall Innkeeper
2 Embereth Shieldbreaker
1 Fire Prophecy
2 Scavenging Ooze
4 Brushfire Elemental
4 Bonecrusher Giant
4 Kazandu Mammoth
4 Lovestruck Beast
2 The Akroan War
3 Questing Beast
1 Vivien, Monsters' Advocate
3 Embercleave
2 The Great Henge
2 Shatterskull Smashing
2 Mountain
4 Forest
4 Riverglide Pathway
4 Cragcrown Pathway
4 Barkchannel Pathway
4 Fabled Passage

Sideboard
3 Disdainful Stroke
3 Fire Prophecy
2 Wilt
2 Soul Sear
1 Klothys, God of Destiny
2 Ox of Agonas
2 Redcap Melee"
"166","Alex Rubio","Sultai Ultimatum","2","3","Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
2 Valki, God of Lies
4 Heartless Act
4 Cultivate
4 Binding the Old Gods
3 Shadows' Verdict
4 Emergent Ultimatum
2 Alrund's Epiphany
2 Shark Typhoon
1 Kiora Bests the Sea God
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
2 Sea Gate Restoration
1 Soul Shatter
2 Extinction Event
4 Forest
4 Swamp
2 Island
1 Vorinclex, Monstrous Raider
3 Mazemind Tome
4 Fabled Passage
2 Jwari Disruption
2 Eliminate
3 Wolfwillow Haven
2 Negate

Sideboard
1 Yorion, Sky Nomad
3 Duress
2 Mystical Dispute
1 Koma, Cosmos Serpent
2 Negate
1 Shadows' Verdict
1 Elder Gargaroth
1 Polukranos, Unchained
1 Chainweb Aracnir
1 Disdainful Stroke
1 Eliminate"
"167","Kmboggemes","Gruul Adventures","2","3","Deck
4 Edgewall Innkeeper
4 Snow-Covered Mountain
8 Snow-Covered Forest
2 Scavenging Ooze
4 Brushfire Elemental
4 Shatterskull Smashing
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazandu Mammoth
2 Questing Beast
4 Embercleave
4 Cragcrown Pathway
4 Fabled Passage
2 The Great Henge
2 The Akroan War
2 Arni Brokenbrow
2 Fire Prophecy

Sideboard
2 Wilt
3 Soul Sear
1 Ox of Agonas
1 Fire Prophecy
2 Klothys, God of Destiny
2 Vivien, Monsters' Advocate
2 Garruk, Unleashed
2 Frost Bite"
"168","Sintaro Takakura","Naya Fury","2","3","Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
3 Unleash Fury
1 Plains
3 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
2 Forest
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
3 Shepherd of the Flock
2 The Akroan War

Sideboard
3 Archon of Absolution
4 Fire Prophecy
3 Ox of Agonas
1 Redcap Melee
2 Embereth Shieldbreaker
2 Roiling Vortex"
"169","Eugene K","Mono-Red Aggro","2","3","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
4 Faceless Haven
2 Torbran, Thane of Red Fell
17 Snow-Covered Mountain
3 Shatterskull Smashing
4 Robber of the Rich
4 Rimrock Knight
2 Goldspan Dragon
3 Frost Bite
4 Fireblade Charger
4 Fervent Champion
4 Embercleave
1 Castle Embereth

Sideboard
1 Frost Bite
3 Roiling Vortex
2 Soul Sear
2 Embereth Shieldbreaker
2 The Akroan War
2 Redcap Melee
3 Ox of Agonas"
"170","Jason Reid","Mono-Red Aggro","2","3","Deck
2 Arni Brokenbrow
4 Frost Bite
4 Bonecrusher Giant
4 Fireblade Charger
4 Anax, Hardened in the Forge
4 Robber of the Rich
4 Rimrock Knight
4 Fervent Champion
4 Embercleave
2 Torbran, Thane of Red Fell
2 Castle Embereth
4 Faceless Haven
18 Snow-Covered Mountain

Sideboard
2 Embereth Paladin
2 The Akroan War
4 Claim the Firstborn
3 Roiling Vortex
3 Phoenix of Ash
1 Ox of Agonas"
"171","Andrew Jessup","Dimir Rogues","2","2","Companion
1 Lurrus of the Dream-Den

Deck
1 Valki, God of Lies
3 Merfolk Windrobber
4 Thieves' Guild Enforcer
4 Soaring Thought-Thief
4 Ruin Crab
4 Into the Story
3 Heartless Act
4 Drown in the Loch
1 Didn't Say Please
4 Temple of Deceit
4 Clearwater Pathway
2 Zagoth Triome
1 Blightstep Pathway
1 Riverglide Pathway
4 Island
3 Swamp
4 Fabled Passage
2 Of One Mind
2 Bloodchief's Thirst
2 Agadeem's Awakening
2 Lullmage's Domination
1 Essence Scatter

Sideboard
1 Lurrus of the Dream-Den
3 Skyclave Shade
3 Mystical Dispute
2 Disdainful Stroke
3 Crippling Fear
1 Bloodchief's Thirst
2 Cling to Dust"
"172","Nam Dang","Gruul Adventures","2","2","Deck
2 Arni Brokenbrow
3 Questing Beast
4 Bonecrusher Giant
4 Brushfire Elemental
4 Edgewall Innkeeper
4 Kazandu Mammoth
4 Lovestruck Beast
2 Fire Prophecy
4 Shatterskull Smashing
1 The Akroan War
2 The Great Henge
4 Embercleave
8 Forest
4 Mountain
4 Cragcrown Pathway
4 Fabled Passage
2 Scavenging Ooze

Sideboard
2 Wilt
3 Soul Sear
1 Ox of Agonas
1 Fire Prophecy
1 The Akroan War
3 Klothys, God of Destiny
1 Garruk, Unleashed
1 Scorching Dragonfire
2 Vivien, Monsters' Advocate"
"173","Tristan Wylde-LaRue","Gruul Adventures","2","2","Deck
4 Giant Killer
3 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
4 Fabled Passage
4 Sejiri Shelter
3 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
2 Plains
1 Forest
2 Mountain
1 Shatterskull Smashing

Sideboard
3 Archon of Absolution
3 Redcap Melee
3 Ox of Agonas
2 Scorching Dragonfire
2 Roiling Vortex
2 Glass Casket"
"174","richard","Gruul Adventures","2","2","Deck
8 Forest
4 Lovestruck Beast
2 Questing Beast
4 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
1 The Great Henge
5 Mountain
4 Fabled Passage
4 Cragcrown Pathway
4 Brushfire Elemental
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Goldspan Dragon
2 Scavenging Ooze
2 Snakeskin Veil

Sideboard
2 Ox of Agonas
3 Wilt
4 Scorching Dragonfire
2 Klothys, God of Destiny
3 Soul Sear
1 The Great Henge"
"175","Theo Moutier","Boros Aggro","2","2","Deck
4 Bonecrusher Giant
1 Embercleave
4 Fabled Passage
4 Luminarch Aspirant
4 Needleverge Pathway
3 Reidane, God of the Worthy
4 Seasoned Hallowblade
4 Selfless Savior
3 Shepherd of the Flock
4 Showdown of the Skalds
2 Giant Killer
11 Snow-Covered Plains
5 Snow-Covered Mountain
4 Usher of the Fallen
3 Skyclave Apparition

Sideboard
3 Frost Bite
2 Giant Killer
2 Glass Casket
1 Reidane, God of the Worthy
1 Skyclave Apparition
2 Baneslayer Angel
2 Roiling Vortex
2 Funeral Longboat"
"176","Anna Wegener","Mono-Red Aggro","2","2","Deck
4 Fervent Champion
2 Castle Embereth
4 Fireblade Charger
4 Frost Bite
4 Rimrock Knight
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
2 Torbran, Thane of Red Fell
2 Arni Brokenbrow
4 Embercleave
18 Snow-Covered Mountain
4 Faceless Haven

Sideboard
2 Scorching Dragonfire
2 Roiling Vortex
2 Ox of Agonas
2 Soul-Guide Lantern
2 The Akroan War
3 Claim the Firstborn
2 Shredded Sails"
"177","Luke Flynn","Mono-White Aggro","2","2","Deck
3 Halvar, God of Battle
3 Alseid of Life's Bounty
2 Giant Killer
4 Luminarch Aspirant
2 Lurrus of the Dream-Den
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
4 Maul of the Skyclaves
3 Usher of the Fallen
2 Sentinel's Eyes
4 Faceless Haven
2 Castle Ardenvale
17 Snow-Covered Plains
2 Glass Casket

Sideboard
2 Drannith Magistrate
2 Giant Killer
2 Glass Casket
2 Soul-Guide Lantern
3 Reidane, God of the Worthy
2 Glorious Protector
2 Baneslayer Angel"
"178","atelier","Dimir Control","2","2","Companion
1 Yorion, Sky Nomad

Deck
1 Mystical Dispute
4 Mazemind Tome
2 Cling to Dust
4 Heartless Act
4 Jwari Disruption
4 Bloodchief's Thirst
4 Extinction Event
4 Omen of the Sea
2 Ashiok, Nightmare Muse
2 Ugin, the Spirit Dragon
4 Zagoth Triome
4 Temple of Deceit
4 Fabled Passage
3 Crawling Barrens
4 Clearwater Pathway
6 Swamp
4 Island
2 Shark Typhoon
3 Lochmere Serpent
2 Castle Vantress
3 Hagra Mauling
2 Shadows' Verdict
2 Murderous Rider
2 Saw It Coming
1 Castle Locthwain
1 Drown in the Loch
1 Teferi, Master of Time
1 Miscast

Sideboard
2 Soul Shatter
1 Ugin, the Spirit Dragon
1 Yorion, Sky Nomad
2 Mystical Dispute
2 Shark Typhoon
2 Eliminate
2 Erebos's Intervention
2 Saw It Coming
1 Duress"
"179","Lukas Twist","Naya Combo","2","2","Deck
4 Needleverge Pathway
4 Lovestruck Beast
2 Sejiri Shelter
4 Unleash Fury
1 Forest
2 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
2 Plains
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
2 Shepherd of the Flock
1 Temple of Abandon
1 Temple of Triumph
1 Temple of Plenty
2 Fire Prophecy

Sideboard
2 Archon of Absolution
2 Ox of Agonas
2 Fire Prophecy
2 The Akroan War
2 Run Afoul
2 Reidane, God of the Worthy
1 Chainweb Aracnir
2 Drannith Magistrate"
"180","Tom Galstian","Naya Fury","2","2","Deck
4 Giant Killer
3 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
3 Unleash Fury
3 Fabled Passage
4 Sejiri Shelter
4 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
1 Plains
2 Mountain
2 Forest
2 The Akroan War

Sideboard
3 Archon of Absolution
2 Redcap Melee
2 Ox of Agonas
4 Fire Prophecy
2 Roiling Vortex
1 Embereth Shieldbreaker
1 Phoenix of Ash"
"181","Alfredo Barragan","Naya Fury","2","2","Deck
4 Giant Killer
4 Shepherd of the Flock
4 Bonecrusher Giant
4 Edgewall Innkeeper
4 Lovestruck Beast
4 Unleash Fury
1 Fire Prophecy
3 Fabled Passage
4 Sejiri Shelter
3 Kazuul's Fury
4 Branchloft Pathway
4 Cragcrown Pathway
4 Needleverge Pathway
4 Goldspan Dragon
4 Showdown of the Skalds
1 Forest
2 Mountain
2 Plains

Sideboard
3 Archon of Absolution
2 Ox of Agonas
2 Fire Prophecy
3 Redcap Melee
1 The Akroan War
2 Elspeth, Sun's Nemesis
2 Reidane, God of the Worthy"
"182","Bogdan Oros","Dimir Rogues","2","2","Companion
1 Lurrus of the Dream-Den

Deck
3 Merfolk Windrobber
5 Island
4 Thieves' Guild Enforcer
3 Swamp
4 Soaring Thought-Thief
4 Ruin Crab
3 Agadeem's Awakening
3 Lullmage's Domination
3 Of One Mind
2 Bloodchief's Thirst
1 Didn't Say Please
4 Drown in the Loch
2 Heartless Act
4 Into the Story
1 Essence Scatter
4 Fabled Passage
2 Zagoth Triome
4 Clearwater Pathway
4 Temple of Deceit

Sideboard
1 Lurrus of the Dream-Den
2 Cling to Dust
2 Skyclave Shade
3 Mystical Dispute
3 Negate
2 Bloodchief's Thirst
1 Crippling Fear
1 Disdainful Stroke"
"183","Takumi Utsunomiya","Naya Fury","2","2","Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
4 Unleash Fury
3 Fabled Passage
4 Bonecrusher Giant
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
3 Shepherd of the Flock
2 Plains
2 Mountain
2 Forest

Sideboard
3 Archon of Absolution
2 The Akroan War
4 Fire Prophecy
4 Ox of Agonas
2 Embereth Shieldbreaker"
"184","Brendon Hansard","Mono-White Aggro","2","2","Deck
20 Snow-Covered Plains
4 Faceless Haven
3 Giant Killer
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
4 Halvar, God of Battle
3 Usher of the Fallen
3 Reidane, God of the Worthy
4 Maul of the Skyclaves
3 Alseid of Life's Bounty

Sideboard
2 Lurrus of the Dream-Den
1 Giant Killer
2 Heliod's Intervention
4 Glass Casket
2 Soul-Guide Lantern
2 Deafening Silence
1 Elspeth, Sun's Nemesis
1 Sentinel's Eyes"
"185","Maxime CLAYETTE","Esper Doom Foretold","2","2","Companion
1 Yorion, Sky Nomad

Deck
3 Archon of Sun's Grace
3 Temple of Deceit
4 Plains
2 Treacherous Blessing
4 Brightclimb Pathway
2 Negate
3 Yorion, Sky Nomad
4 Hengegate Pathway
4 Fabled Passage
3 Heartless Act
2 The Birth of Meletis
4 Extinction Event
4 Emeria's Call
4 Island
4 Elspeth Conquers Death
4 Doom Foretold
2 Dance of the Manse
3 Swamp
2 Omen of the Sun
4 Clearwater Pathway
2 Temple of Silence
2 Elspeth's Nightmare
1 Eliminate
4 Omen of the Sea
1 Erebos's Intervention
2 Shark Typhoon
2 The Raven's Warning
1 Shadows' Verdict

Sideboard
1 Yorion, Sky Nomad
2 Cling to Dust
3 Mystical Dispute
1 Shadows' Verdict
1 Shark Typhoon
2 Negate
4 Duress
1 Dance of the Manse"
"186","Ashkan Paykar","Mono-Red Aggro","2","2","Deck
4 Fervent Champion
3 Rimrock Knight
3 Frost Bite
4 Robber of the Rich
4 Bonecrusher Giant
4 Anax, Hardened in the Forge
4 Embercleave
4 Faceless Haven
19 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Castle Embereth
2 Goldspan Dragon
3 Fireblade Charger
1 The Akroan War
2 Arni Brokenbrow

Sideboard
2 Ox of Agonas
2 Redcap Melee
2 Roiling Vortex
2 Embereth Paladin
1 Frost Bite
2 Shredded Sails
3 Soul Sear
1 The Akroan War"
"187","Stan Bergey","Sultai Ultimatum","2","2","Companion
1 Yorion, Sky Nomad

Deck
3 Swamp
2 Sea Gate Restoration
2 Alrund's Epiphany
1 Kiora Bests the Sea God
2 Extinction Event
4 Forest
2 Shadows' Verdict
1 Esika's Chariot
2 Island
4 Clearwater Pathway
4 Darkbore Pathway
4 Barkchannel Pathway
4 Emergent Ultimatum
4 Mazemind Tome
4 Fabled Passage
2 Jwari Disruption
4 Omen of the Sea
2 Eliminate
4 Heartless Act
2 Elspeth's Nightmare
4 Wolfwillow Haven
1 Valki, God of Lies
4 Binding the Old Gods
4 Cultivate
4 Zagoth Triome
2 Ketria Triome
2 Negate
1 Koma, Cosmos Serpent
1 Disdainful Stroke

Sideboard
1 Yorion, Sky Nomad
2 Negate
2 Duress
2 Elder Gargaroth
1 Shadows' Verdict
3 Mystical Dispute
2 Glimpse of Freedom
1 Cling to Dust
1 Koma, Cosmos Serpent"
"188","ryota hakuno","Mono-Green Aggro","1","3","Deck
4 Castle Garenbrig
4 Swarm Shambler
1 Faceless Haven
3 Nessian Hornbeetle
3 Scavenging Ooze
4 Lovestruck Beast
3 Old-Growth Troll
1 Yorvo, Lord of Garenbrig
4 Gemrazer
4 Questing Beast
1 Vivien, Monsters' Advocate
3 The Great Henge
2 Primal Might
4 Stonecoil Serpent
19 Snow-Covered Forest

Sideboard
3 Chainweb Aracnir
2 Snakeskin Veil
2 Vivien, Monsters' Advocate
2 Kogla, the Titan Ape
1 The Great Henge
4 Blizzard Brawl
1 Scavenging Ooze"
"189","CLaudio Mendonca","Gruul Adventures","1","3","Deck
1 Opportunistic Dragon
4 Goldspan Dragon
4 Rimrock Knight
4 Bonecrusher Giant
4 Edgewall Innkeeper
2 Questing Beast
4 Lovestruck Beast
4 Brushfire Elemental
3 Embercleave
1 Primal Might
4 Shatterskull Smashing
4 Cragcrown Pathway
4 Fabled Passage
8 Forest
5 Mountain
2 Wildwood Tracker
2 Soul Sear

Sideboard
1 Opportunistic Dragon
2 Klothys, God of Destiny
2 Scavenging Ooze
2 Ox of Agonas
4 Fire Prophecy
2 Thrashing Brontodon
1 Soul Sear
1 Shredded Sails"
"190","Jorge Gomez","Dimir Rogues","1","3","Companion
1 Lurrus of the Dream-Den

Deck
4 Merfolk Windrobber
3 Ruin Crab
4 Soaring Thought-Thief
4 Thieves' Guild Enforcer
2 Agadeem's Awakening
2 Mystical Dispute
2 Of One Mind
2 Didn't Say Please
4 Drown in the Loch
2 Eliminate
1 Castle Locthwain
3 Heartless Act
4 Into the Story
4 Clearwater Pathway
4 Fabled Passage
5 Island
4 Swamp
3 Temple of Deceit
3 Zagoth Triome

Sideboard
2 Negate
2 Cling to Dust
2 Crippling Fear
2 Dead Weight
1 Lurrus of the Dream-Den
1 Mystical Dispute
3 Skyclave Shade
2 Lullmage's Domination"
"191","Paolo Andraghetti","Gruul Adventures","1","3","Deck
8 Forest
4 Lovestruck Beast
2 Questing Beast
4 Embercleave
4 Edgewall Innkeeper
4 Bonecrusher Giant
1 The Great Henge
5 Mountain
4 Fabled Passage
4 Cragcrown Pathway
4 Brushfire Elemental
4 Shatterskull Smashing
4 Kazandu Mammoth
4 Goldspan Dragon
2 Scavenging Ooze
2 Snakeskin Veil

Sideboard
2 Ox of Agonas
3 Wilt
4 Scorching Dragonfire
2 Klothys, God of Destiny
3 Soul Sear
1 The Great Henge"
"192","Albert Vetere","Sultai Ultimatum","1","3","Companion
1 Yorion, Sky Nomad

Deck
4 Jwari Disruption
3 Swamp
4 Omen of the Sea
2 Eliminate
4 Island
2 Valki, God of Lies
4 Wolfwillow Haven
4 Forest
4 Heartless Act
1 Soul Shatter
4 Cultivate
2 Behold the Multiverse
3 Binding the Old Gods
2 Shadows' Verdict
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
1 Sea Gate Restoration
4 Emergent Ultimatum
4 Darkbore Pathway
4 Barkchannel Pathway
4 Clearwater Pathway
2 Ketria Triome
4 Zagoth Triome
4 Fabled Passage
1 Hagra Mauling
1 Elder Gargaroth
1 Cling to Dust
1 Kiora Bests the Sea God
1 Extinction Event
2 Negate

Sideboard
1 Yorion, Sky Nomad
1 Shadows' Verdict
1 Cling to Dust
2 Duress
2 Negate
2 Mystical Dispute
1 Soul-Guide Lantern
1 Disdainful Stroke
1 Extinction Event
1 Polukranos, Unchained
2 Chainweb Aracnir"
"193","java1","Mono-White Aggro","1","3","Deck
4 Alseid of Life's Bounty
1 Castle Ardenvale
4 Faceless Haven
2 Giant Killer
3 Halvar, God of Battle
1 Legion Angel
4 Luminarch Aspirant
4 Maul of the Skyclaves
2 Reidane, God of the Worthy
4 Seasoned Hallowblade
4 Selfless Savior
2 Sentinel's Eyes
4 Skyclave Apparition
18 Snow-Covered Plains
3 Usher of the Fallen

Sideboard
3 Drannith Magistrate
2 Giant Killer
4 Glass Casket
3 Legion Angel
1 Reidane, God of the Worthy
2 Soul-Guide Lantern"
"194","Nelson Rodrigues","Sultai Ultimatum","1","3","Companion
1 Yorion, Sky Nomad

Deck
2 Shadows' Verdict
4 Cultivate
4 Omen of the Sea
2 Elspeth's Nightmare
4 Mazemind Tome
4 Heartless Act
4 Binding the Old Gods
1 Negate
2 Valki, God of Lies
4 Emergent Ultimatum
2 Alrund's Epiphany
2 Fae of Wishes
1 Kiora Bests the Sea God
1 Shark Typhoon
2 Extinction Event
1 Eliminate
4 Barkchannel Pathway
4 Darkbore Pathway
3 Forest
4 Clearwater Pathway
4 Swamp
2 Island
2 Sea Gate Restoration
2 Jwari Disruption
4 Zagoth Triome
2 Ketria Triome
4 Fabled Passage
1 Disdainful Stroke
3 Wolfwillow Haven
1 Soul Shatter

Sideboard
1 Yorion, Sky Nomad
2 Negate
2 Duress
1 Erebos's Intervention
1 Shadows' Verdict
1 Cling to Dust
3 Elder Gargaroth
2 Shark Typhoon
1 Crippling Fear
1 Ugin, the Spirit Dragon"
